University_name,code
Stanford,stanford.edu
MIT,mit.edu
CMU,cmu.edu
Google,google.com
Gmail,gmail.com
Yahoo,yahoo
Facebook,fb.com
Georgia Tech,gatech.edu
New York University,nyu.edu
"University of California, Santa barbara",ucsb.edu
Columbia University in New York,columbia.edu
University of texas at Austin,utexas.edu
University of Wisconsin-Madison,wisc.edu
University of North Carolina at Chapell Hill,unc.edu
Rutgers University,rutgers.edu
UCL,ucl.ac.uk
Center of Advanced European Studies and Research,caesar.de
Toyota Technological Institute at Chicago,ttic.edu
The University of Adelaide,adelaide.edu
Peking University,pku.edu
Harvard University,harvard.edu
Paypal,paypal.com
University of Michigan,umich.edu
University of Illinois Urbana-Champaign,illinois.edu
University of California Davis,ucdavis.edu
Rensselaer Polytechnic Institute,rpi.edu
French Institute for Research in Computer Science and Automation,inria.fr
Duke University,duke.edu
University of Georgia,uga.edu
University Paderborn,upb.de
Politechnika Pozna?ska,put.poznan.pl
Aalto University,aalto.fi
University of Helsinki,helsinki.fi
University of Tokyo,u-tokyo.ac.jp
IIT Kharagpur,iitk.ac.in
National University of Singapore,nus.edu
"University of Caliornia, Berkeley",berkeley.edu
"Stonk Brook University, New york",stonybrook.edu
National Institute of Informatics,nii.ac.jp
Hong Kong Observatory,hko.gov.hk
Sense Time,sensetime.com
University of Tehran,ut.ac.ir
IBM,ibm.com
University of Texas at Dallas,utdallas.edu
University of Alberta,ualberta
Tsinghua university,tsinghua.edu.cn
Technion Israel Institute of Technology,technion.ac.il
ENS Paris,ens.fr
Chalmers University of Technology,chalmers.se
Rochester,rochester.edu
"Indian Institute of Science, bangalore",iisc.ernet.in
Microsoft,microsoft.com
Cornell,cornell.edu
Purdue,purdue.edu
Nvidia,nvidia.com
Oxford,ox.ac.uk
University of Minnesota Twin Cities,umn.edu
University of Warwick,warwick.ac.uk
Brown University,brown.edu
Paris Dauphine University,dauphine.fr
Adobe,adobe.com
University of Montreal,umontreal.ca
Swiss Federal Institute of Technology in Zurich ,ethz.ch
Technical University of Berlin,tu-berlin
Nagoya Institute of Technology,nitech.ac.jp
Xerox,xerox.com
Nanjing University,nju.edu
Washington,washington.edu
"University of California, Los Angeles",ucla.edu
California Institute of Technology,caltech.edu
Princeton,princeton.edu
University of Pennsylvania,upenn.edu
John Hopkins University,jhu.edu
Johns Hopkins Bloomberg School of Public Health,jhsph.edu
Yale University,yale.edu
Francesco Orabona,orabona.com
